Channel,Mean Power
Fp1,1.7498263828471413e-12
Fz,1.6041103046368297e-13
F3,1.950375130442539e-13
F7,5.51783480551378e-13
FT9,2.530028320201274e-13
FC5,2.134777074856303e-13
FC1,6.075283294295884e-14
C3,6.146783578276636e-14
T7,1.5908776406045053e-13
TP9,4.256690737703387e-13
CP5,6.24655070268894e-14
CP1,1.1143859064179233e-14
Pz,1.8061611358707563e-14
P3,3.119559209779265e-14
P7,1.0261203121027789e-13
O1,1.1302273770753918e-13
Oz,1.1767016949492573e-13
O2,1.0622842277028734e-13
P4,2.970959633787429e-14
P8,6.970444088328103e-14
TP10,2.9842219555798277e-13
CP6,3.644848490944796e-14
CP2,9.069128660469243e-15
Cz,1.678516413395845e-14
C4,4.7825911591794086e-14
T8,2.6018617253291064e-13
FT10,1.7958015496900762e-13
FC6,1.5622481440956683e-13
FC2,5.412454141173947e-14
F4,2.6665732068510106e-13
F8,4.4933119565457235e-13
Fp2,1.7200580928344506e-12
AF7,1.002388935658298e-12
AF3,5.889336426570935e-13
AFz,6.469389528972389e-13
F1,1.6521678770820914e-13
F5,3.796641961258624e-13
FT7,2.7852366291587955e-13
FC3,9.259503460973911e-14
FCz,5.229337598127309e-14
C1,2.9071141677271746e-14
C5,1.1342463650835244e-13
TP7,2.7733800413773576e-13
CP3,2.737901470316128e-14
P1,1.9764582010791296e-14
P5,7.843763035782507e-14
PO7,9.253156419829381e-14
PO3,5.585687037038972e-14
POz,4.5520072519134895e-14
PO4,4.9865225639977036e-14
PO8,1.011658021596654e-13
P6,6.97660911671524e-14
P2,2.1228627904041917e-14
CP4,2.8287586411858792e-14
TP8,9.072986203040599e-14
C6,1.0175946701219558e-13
C2,1.898144738846593e-14
FC4,8.614822802846688e-14
FT8,2.0896297490026032e-13
F6,4.5337475968260086e-13
F2,1.3834615263181611e-13
AF4,5.60488496077781e-13
AF8,5.293285043749179e-13
